updated_utc,item_id,floor_copper,market_copper,quantity
2026-09-04T04:23:31Z,117,100,100,477
2026-09-04T04:23:31Z,118,1400,990000,221
2026-09-04T04:23:31Z,159,500,500,4709
2026-09-04T04:23:31Z,414,400,400,155
2026-09-04T04:23:31Z,422,100,100,82
2026-09-04T04:23:31Z,537,49005000,49005000,20
2026-09-04T04:23:31Z,555,9500000100,9500000100,1
2026-09-04T04:23:31Z,556,49000200,49000200,23
2026-09-04T04:23:31Z,723,1100,199700,5286
2026-09-04T04:23:31Z,724,5300,5300,88
2026-09-04T04:23:31Z,729,290000100,290000100,1
2026-09-04T04:23:31Z,730,49000100,49000100,8
2026-09-04T04:23:31Z,731,290000100,290000100,1
2026-09-04T04:23:31Z,732,88789600,88789600,3
2026-09-04T04:23:31Z,733,200,200,151
2026-09-04T04:23:31Z,765,12400,28100,69299
2026-09-04T04:23:31Z,769,2000,7500,42739
2026-09-04T04:23:31Z,770,50000,50000,25
2026-09-04T04:23:31Z,771,600,600,34
2026-09-04T04:23:31Z,774,1000,13100,2478
2026-09-04T04:23:31Z,779,20001400,20001400,32
2026-09-04T04:23:31Z,783,24500,43200,32533
2026-09-04T04:23:31Z,785,22400,35900,25849
2026-09-04T04:23:31Z,787,1100,1100,68
2026-09-04T04:23:31Z,813,49000100,49000100,20
2026-09-04T04:23:31Z,814,100,200,1169
2026-09-04T04:23:31Z,818,5000,19000,1712
2026-09-04T04:23:31Z,858,100,100,1165
2026-09-04T04:23:31Z,878,290000100,290000100,1
2026-09-04T04:23:31Z,929,300,300,587
2026-09-04T04:23:31Z,954,9900,9900,34
2026-09-04T04:23:31Z,955,14100,90000,178
2026-09-04T04:23:31Z,961,5500,6000,113
2026-09-04T04:23:31Z,1015,1700,1700,27275
2026-09-04T04:23:31Z,1017,200,200,633
2026-09-04T04:23:31Z,1074,1000,1400,48
2026-09-04T04:23:31Z,1080,2600,199900,1879
2026-09-04T04:23:31Z,1081,49000100,49000100,20
2026-09-04T04:23:31Z,1082,10000,10000,94
2026-09-04T04:23:31Z,1175,49000100,49000100,17
2026-09-04T04:23:31Z,1177,420000,420000,52
2026-09-04T04:23:31Z,1178,31355500,31355500,13
2026-09-04T04:23:31Z,1179,200,200,119
2026-09-04T04:23:31Z,1180,100,100,34
2026-09-04T04:23:31Z,1181,300,300,60
2026-09-04T04:23:31Z,1205,100,100,170
2026-09-04T04:23:31Z,1206,160000,177800,280
2026-09-04T04:23:31Z,1210,3300,12300,1459
2026-09-04T04:23:31Z,1222,49000100,49000100,36
2026-09-04T04:23:31Z,1251,300,300,319
2026-09-04T04:23:31Z,1274,49000100,49000100,17
2026-09-04T04:23:31Z,1288,300,300,5690
2026-09-04T04:23:31Z,1326,19990000,19990000,20
2026-09-04T04:23:31Z,1399,999990100,999990100,1
2026-09-04T04:23:31Z,1401,249990000,249990000,1
2026-09-04T04:23:31Z,1468,200,300,44730
2026-09-04T04:23:31Z,1475,3000,6900,8226
2026-09-04T04:23:31Z,1476,30000,35000,29
